"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","PCs","score"
"1","Aaron Gordon","ORL","F",FALSE,TRUE,FALSE,78,33.8,4.5,50,1.6,34.8,2.4,73.1,9.3,29.1,46.7,5.4,-0.5,1.3,6.5,1.2,0.7,3.7,0.7,1.7,5.7,"shooting1",-0.0851397507711187
"2","Aaron Gordon","ORL","F",FALSE,TRUE,FALSE,78,33.8,4.5,50,1.6,34.8,2.4,73.1,9.3,29.1,46.7,5.4,-0.5,1.3,6.5,1.2,0.7,3.7,0.7,1.7,5.7,"shooting2",1.19428274856935
"3","Aaron Gordon","ORL","F",FALSE,TRUE,FALSE,78,33.8,4.5,50,1.6,34.8,2.4,73.1,9.3,29.1,46.7,5.4,-0.5,1.3,6.5,1.2,0.7,3.7,0.7,1.7,5.7,"others1",-2.12386391508154
"4","Aaron Gordon","ORL","F",FALSE,TRUE,FALSE,78,33.8,4.5,50,1.6,34.8,2.4,73.1,9.3,29.1,46.7,5.4,-0.5,1.3,6.5,1.2,0.7,3.7,0.7,1.7,5.7,"others2",-0.41206683874011
"5","Aaron Holiday","IND","G",FALSE,FALSE,TRUE,50,12.9,1.2,45.9,0.9,33.9,0.8,82,12.9,43.9,29.3,2,-3.2,0.7,2.5,0.3,0.4,1.7,0.3,0.1,1.2,"shooting1",1.27397648787953
"6","Aaron Holiday","IND","G",FALSE,FALSE,TRUE,50,12.9,1.2,45.9,0.9,33.9,0.8,82,12.9,43.9,29.3,2,-3.2,0.7,2.5,0.3,0.4,1.7,0.3,0.1,1.2,"shooting2",-0.750686432473424
"7","Aaron Holiday","IND","G",FALSE,FALSE,TRUE,50,12.9,1.2,45.9,0.9,33.9,0.8,82,12.9,43.9,29.3,2,-3.2,0.7,2.5,0.3,0.4,1.7,0.3,0.1,1.2,"others1",2.77572899431042
"8","Aaron Holiday","IND","G",FALSE,FALSE,TRUE,50,12.9,1.2,45.9,0.9,33.9,0.8,82,12.9,43.9,29.3,2,-3.2,0.7,2.5,0.3,0.4,1.7,0.3,0.1,1.2,"others2",-0.180787867209718
"9","Abdel Nader","OKC","F",FALSE,TRUE,FALSE,61,11.4,1,51.8,0.5,31.3,0.4,75,1.7,39.8,47.3,2.5,0.7,0.5,3.8,0.4,0.3,0.3,0.2,0.2,1.7,"shooting1",-0.194649260226265
"10","Abdel Nader","OKC","F",FALSE,TRUE,FALSE,61,11.4,1,51.8,0.5,31.3,0.4,75,1.7,39.8,47.3,2.5,0.7,0.5,3.8,0.4,0.3,0.3,0.2,0.2,1.7,"shooting2",-1.56331602752813
"11","Abdel Nader","OKC","F",FALSE,TRUE,FALSE,61,11.4,1,51.8,0.5,31.3,0.4,75,1.7,39.8,47.3,2.5,0.7,0.5,3.8,0.4,0.3,0.3,0.2,0.2,1.7,"others1",2.75409917242501
"12","Abdel Nader","OKC","F",FALSE,TRUE,FALSE,61,11.4,1,51.8,0.5,31.3,0.4,75,1.7,39.8,47.3,2.5,0.7,0.5,3.8,0.4,0.3,0.3,0.2,0.2,1.7,"others2",-0.529034733800954
"13","Al-Farouq Aminu","POR","F",FALSE,TRUE,FALSE,81,28.3,2,51.3,1.2,34.5,1.9,86.7,1.8,37.9,40.5,5.1,-0.5,1.9,7.4,1,0.8,1.3,0.4,1.4,6.1,"shooting1",0.505629924222234
"14","Al-Farouq Aminu","POR","F",FALSE,TRUE,FALSE,81,28.3,2,51.3,1.2,34.5,1.9,86.7,1.8,37.9,40.5,5.1,-0.5,1.9,7.4,1,0.8,1.3,0.4,1.4,6.1,"shooting2",0.0747456861496249
"15","Al-Farouq Aminu","POR","F",FALSE,TRUE,FALSE,81,28.3,2,51.3,1.2,34.5,1.9,86.7,1.8,37.9,40.5,5.1,-0.5,1.9,7.4,1,0.8,1.3,0.4,1.4,6.1,"others1",-1.74354138492438
"16","Al-Farouq Aminu","POR","F",FALSE,TRUE,FALSE,81,28.3,2,51.3,1.2,34.5,1.9,86.7,1.8,37.9,40.5,5.1,-0.5,1.9,7.4,1,0.8,1.3,0.4,1.4,6.1,"others2",-0.446443346689339
"17","Alec Burks","SAC","G",FALSE,FALSE,TRUE,64,21.5,2,42.8,0.9,36.3,1.8,82.3,7.8,32.6,38.9,3.8,3.5,1.2,5.1,0.5,0.6,2,0.3,0.5,3.2,"shooting1",0.697094023948863
"18","Alec Burks","SAC","G",FALSE,FALSE,TRUE,64,21.5,2,42.8,0.9,36.3,1.8,82.3,7.8,32.6,38.9,3.8,3.5,1.2,5.1,0.5,0.6,2,0.3,0.5,3.2,"shooting2",-0.111784331661459
