"","PLAYER","TEAM","POSITION","center","forward","guard","GP","MIN","2FGM","2FG%","3PM","3P%","FTM","FT%","%midrange","%3points","%inthepaint","DFGM","DIFF%","DEFLECTIONS","CONTESTED SHOTS","LOOSE BALLS RECOVERED","STL","AST","BLK","OREB","DREB","shooting1","shooting2","others1","others2","extreme","label"
"1","Aaron Gordon","ORL","F",FALSE,TRUE,FALSE,78,33.8,4.5,50,1.6,34.8,2.4,73.1,9.3,29.1,46.7,5.4,-0.5,1.3,6.5,1.2,0.7,3.7,0.7,1.7,5.7,-0.0851397507711187,1.19428274856935,-2.12386391508154,-0.41206683874011,FALSE,""
"2","Aaron Holiday","IND","G",FALSE,FALSE,TRUE,50,12.9,1.2,45.9,0.9,33.9,0.8,82,12.9,43.9,29.3,2,-3.2,0.7,2.5,0.3,0.4,1.7,0.3,0.1,1.2,1.27397648787953,-0.750686432473424,2.77572899431042,-0.180787867209718,FALSE,""
"3","Abdel Nader","OKC","F",FALSE,TRUE,FALSE,61,11.4,1,51.8,0.5,31.3,0.4,75,1.7,39.8,47.3,2.5,0.7,0.5,3.8,0.4,0.3,0.3,0.2,0.2,1.7,-0.194649260226265,-1.56331602752813,2.75409917242501,-0.529034733800954,FALSE,""
"4","Al-Farouq Aminu","POR","F",FALSE,TRUE,FALSE,81,28.3,2,51.3,1.2,34.5,1.9,86.7,1.8,37.9,40.5,5.1,-0.5,1.9,7.4,1,0.8,1.3,0.4,1.4,6.1,0.505629924222234,0.0747456861496249,-1.74354138492438,-0.446443346689339,FALSE,""
"5","Al Horford","BOS","C-F",TRUE,TRUE,FALSE,68,29,4.6,60.4,1.1,36,1.1,82.1,20.1,23.7,47.8,7.6,-1.8,1.4,11.7,0.8,0.9,4.2,1.3,1.8,5,-0.468226418467185,1.26771304503498,-3.70447148978314,-1.71687365246652,FALSE,""
"6","Alec Burks","SAC","G",FALSE,FALSE,TRUE,64,21.5,2,42.8,0.9,36.3,1.8,82.3,7.8,32.6,38.9,3.8,3.5,1.2,5.1,0.5,0.6,2,0.3,0.5,3.2,0.697094023948863,-0.111784331661459,0.912047465752919,0.188534729092146,FALSE,""
"7","Alex Abrines","OKC","G",FALSE,FALSE,TRUE,31,19,0.5,50,1.3,32.3,0.4,92.3,6.1,74.5,12.1,3.3,3,0.9,5.3,0.6,0.5,0.6,0.2,0.2,1.4,2.74403139567474,-1.15986831114811,1.87956961062883,0.0639920601479205,FALSE,""
"8","Alex Caruso","LAL","G",FALSE,FALSE,TRUE,25,21.2,2.1,43,1,48,2,79.7,5.2,31.4,41,4,-3.3,1.9,5.6,0.8,1,3.1,0.4,0.8,1.9,0.996305394323935,0.0890684377474919,-0.373470305560288,0.747813896944594,FALSE,""
"9","Alex Len","ATL","C",TRUE,FALSE,FALSE,77,20.1,3.2,55.4,1,36.3,1.8,64.8,2.1,26,55.5,5.9,1.9,0.5,9.6,0.4,0.4,1.1,0.9,2.1,3.5,-0.992405084885997,-0.0191966507635909,-0.762635242691596,-2.72848707799195,FALSE,""
"10","Alex Poythress","ATL","F",FALSE,TRUE,FALSE,21,14.5,1.5,53.4,0.4,39.1,0.9,62.1,0,25.2,57.9,2.3,-4.3,0.7,4,0.3,0.2,0.8,0.5,1.4,2.2,-1.05202554218236,-1.33269163216716,1.87652762744373,-1.73661809191155,FALSE,""
"11","Alfonzo McKinnie","GSW","F",FALSE,TRUE,FALSE,72,13.9,1.3,58.2,0.6,35.9,0.4,56.3,3.6,37.4,51,2.4,1.1,0.6,3.1,0.4,0.3,0.4,0.2,1.1,2.3,-0.752141276711833,-1.65255592720235,2.35250726154069,-0.823772123531852,FALSE,""
"12","Allen Crabbe","BKN","G-F",FALSE,TRUE,TRUE,43,26.4,0.9,34.2,2.3,37.8,1,73.2,5.8,71.2,13.1,2.9,-1.3,1,4.5,0.6,0.5,1.1,0.3,0.4,3.1,3.51182339816025,-1.04283807778632,1.37044995717824,-0.301203169176255,FALSE,""
"13","Allonzo Trier","NYK","G",FALSE,FALSE,TRUE,64,22.8,2.8,46.6,0.8,39.2,2.8,80.3,13.5,22.4,38.3,4,6.4,0.8,4.1,0.8,0.4,1.9,0.2,0.5,2.6,0.294743851819626,0.870765300730086,1.33865716473075,0.469115055574535,FALSE,""
"14","Amir Johnson","PHI","C-F",TRUE,TRUE,FALSE,51,10.4,1.3,57.3,0.2,30,0.6,75.6,2,17.9,64.7,3.1,1.2,0.7,4.1,0.3,0.3,1.2,0.3,0.9,2,-1.73570103742734,-1.18276080789817,2.04159183026808,-0.781509311232682,FALSE,""
"15","Andre Drummond","DET","C",TRUE,FALSE,FALSE,79,33.5,7,54.8,0.1,13.2,3.1,59,1.3,1.1,79.9,8.6,-0.8,2.9,13,1.3,1.7,1.4,1.7,5.4,10.2,-4.30938980361789,1.1110151113081,-8.37046271245168,-3.14619233552892,TRUE,"Andre Drummond"
"16","Andre Iguodala","GSW","F-G",FALSE,TRUE,TRUE,68,23.2,1.5,65.2,0.7,33.3,0.6,58.2,4.1,37,48.8,3.5,-2.1,1.7,4.5,1.1,0.9,3.2,0.8,0.7,3,-1.01245125910833,-1.29993199263328,-0.694757751564738,0.651608778939109,FALSE,""
"17","Andrew Harrison","NOP","G",FALSE,FALSE,TRUE,17,10.9,0.7,39.3,0.3,20,1,94.4,3.7,27.8,37,2.1,0,0.9,2.2,0.3,0.2,1.4,0.1,0.4,0.8,0.163916493703782,-1.19745591188329,3.10674855142531,-0.0060194371191237,FALSE,""
