"","PROVINCE / LGU","economic_dynamism","government","infrastructure","resiliency","cluster"
"1","Aborlan",4.8368,8.3503,5.176,12.5147,1
"2","Abra De Ilog",3.1806,5.9111,4.6669,13.5154,1
"3","Abucay",6.0729,9.2626,6.0342,13.8172,2
"4","Abulug",5.7954,9.2764,6.5946,13.4775,2
"5","Abuyog",4.7338,9.8379,6.0446,12.1299,2
"6","Adams",3.9448,9.1817,5.9825,13.7342,2
"7","Agdangan",5.5469,9.9728,4.0778,12.8538,2
"8","Aglipay",4.7942,9.0161,5.5658,13.5067,2
"9","Agno",6.0222,9.6247,4.7975,13.4944,2
"10","Agoncillo",4.685,6.9304,3.2959,12.2066,1
"11","Agoo",6.4485,11.3248,6.4889,15.1421,2
"12","Aguilar",4.4024,9.2074,4.378,13.4072,1
"13","Aguinaldo",3.7384,9.0151,4.9631,11.8735,1
"14","Agutaya",5.596,7.5919,2.1284,10.5384,3
"15","Ajuy",4.3915,9.6379,4.1657,13.1533,1
"16","Alabat",5.2583,9.9427,5.708,11.8344,2
"17","Alabel",4.8833,10.432,6.9329,14.3541,2
"18","Alamada",3.2825,9.5933,5.3865,13.3997,1
"19","Alaminos (LA)",6.1641,9.1235,6.7574,13.5526,2
"20","Alaminos (PS)",4.6339,9.513,7.3873,13.6454,2
"21","Alang-Alang",4.8161,10.0128,4.7267,13.2917,2
"22","Albuera",6.1235,8.5178,5.2109,13.3954,2
"23","Alburquerque",6.5373,10.3206,5.8318,13.4897,2
"24","Alcala (CG)",5.3432,8.4096,5.6829,12.7366,2
"25","Alcala (PS)",5.4409,9.6557,5.4254,13.563,2
"26","Alcantara (CU)",5.6281,6.1767,5.6907,10.4342,1
"27","Alcantara (RN)",4.8494,9.5675,5.2144,13.6429,2
"28","Alcoy",7.0959,9.7669,5.5471,11.6657,2
"29","Alegria (CU)",5.9408,10.1814,5.1316,12.1695,2
"30","Alegria (SN)",5.8449,8.3984,6.8468,12.2275,2
"31","Aleosan",4.4189,9.8952,5.8943,13.884,2
"32","Alfonso",4.3844,8.4003,5.9189,13.3744,2
"33","Alfonso Castaneda",2.8715,6.0159,4.6747,12.5106,1
"34","Alfonso Lista",7.4927,10.7821,5.0843,14.2393,2
"35","Aliaga",3.2603,6.0344,5.1665,12.5494,1
"36","Alicia (BL)",5.7465,9.9335,4.9771,13.419,2
"37","Alicia (IA)",3.2762,9.7122,5.2571,12.7673,1
"38","Alicia (ZS)",3.6252,9.2725,4.5915,11.7102,1
"39","Alimodian",5.1289,11.3743,6.3929,13.3528,2
"40","Alitagtag",5.3032,9.7651,5.261,13.3318,2
"41","Allacapan",5.8615,10.3518,6.4269,12.9409,2
"42","Alilem",4.0775,9.502,3.8726,12.7681,1
"43","Allen",6.0657,12.7159,6.6823,13.3519,2
