PROVINCE / LGU,economic_dynamism,government,infrastructure,resiliency,if_3_clusters,if_4_clusters,if_5_clusters,if_6_clusters,if_7_clusters,if_8_clusters,if_9_clusters,if_10_clusters
Aborlan,4.8368,8.3503,5.176,12.5147,1,1,1,1,1,1,1,1
Abra De Ilog,3.1806,5.9111,4.6669,13.5154,1,1,2,2,2,2,2,2
Abucay,6.0729,9.2626,6.0342,13.8172,2,2,3,3,3,3,3,3
Abulug,5.7954,9.2764,6.5946,13.4775,2,2,3,3,3,3,3,3
Abuyog,4.7338,9.8379,6.0446,12.1299,1,1,1,1,1,1,1,1
Adams,3.9448,9.1817,5.9825,13.7342,2,2,3,3,3,3,3,3
Agdangan,5.5469,9.9728,4.0778,12.8538,1,1,1,1,1,1,1,1
Aglipay,4.7942,9.0161,5.5658,13.5067,1,1,1,1,1,1,1,1
Agno,6.0222,9.6247,4.7975,13.4944,2,2,3,3,3,3,3,3
Agoncillo,4.685,6.9304,3.2959,12.2066,1,1,2,4,4,4,4,4
Agoo,6.4485,11.3248,6.4889,15.1421,2,2,3,3,3,3,5,5
Aguilar,4.4024,9.2074,4.378,13.4072,1,1,1,1,1,1,1,1
Aguinaldo,3.7384,9.0151,4.9631,11.8735,1,1,1,1,1,1,1,1
Agutaya,5.596,7.5919,2.1284,10.5384,1,1,2,4,4,4,4,4
Ajuy,4.3915,9.6379,4.1657,13.1533,1,1,2,4,4,4,4,4
Alabat,5.2583,9.9427,5.708,11.8344,1,1,1,1,1,1,1,1
Alabel,4.8833,10.432,6.9329,14.3541,2,2,3,3,3,3,3,3
Alamada,3.2825,9.5933,5.3865,13.3997,1,1,1,1,1,1,1,1
Alaminos (LA),6.1641,9.1235,6.7574,13.5526,2,2,3,3,3,3,5,5
Alaminos (PS),4.6339,9.513,7.3873,13.6454,2,2,3,3,3,3,5,5
Alang-Alang,4.8161,10.0128,4.7267,13.2917,1,1,1,1,1,1,1,1
Albuera,6.1235,8.5178,5.2109,13.3954,1,1,2,2,2,5,6,6
Alburquerque,6.5373,10.3206,5.8318,13.4897,2,2,3,3,3,3,3,3
Alcala (CG),5.3432,8.4096,5.6829,12.7366,1,1,2,2,2,5,6,6
Alcala (PS),5.4409,9.6557,5.4254,13.563,2,2,3,3,3,3,3,3
Alcantara (CU),5.6281,6.1767,5.6907,10.4342,1,1,2,2,2,5,6,6
Alcantara (RN),4.8494,9.5675,5.2144,13.6429,1,1,1,1,1,1,1,1
Alcoy,7.0959,9.7669,5.5471,11.6657,2,2,3,3,3,3,3,3
Alegria (CU),5.9408,10.1814,5.1316,12.1695,2,2,3,3,3,3,3,3
Alegria (SN),5.8449,8.3984,6.8468,12.2275,2,2,3,3,3,3,3,3
Aleosan,4.4189,9.8952,5.8943,13.884,2,2,3,3,3,3,3,3
Alfonso,4.3844,8.4003,5.9189,13.3744,1,1,1,1,1,1,1,1
Alfonso Castaneda,2.8715,6.0159,4.6747,12.5106,1,1,2,2,2,2,2,2
Alfonso Lista,7.4927,10.7821,5.0843,14.2393,2,2,3,3,3,3,3,3
Aliaga,3.2603,6.0344,5.1665,12.5494,1,1,2,2,2,2,2,2
Alicia (BL),5.7465,9.9335,4.9771,13.419,2,2,3,3,3,3,3,3
Alicia (IA),3.2762,9.7122,5.2571,12.7673,1,1,1,1,1,1,1,1
