"","id","status","address","address_google","location_type","pnt"
"1",1,"OK","Aborlan","Aborlan, Palawan, Philippines","APPROXIMATE",c(118.4396756, 9.5621138)
"2",2,"OK","Abra De Ilog","Abra de Ilog, Occidental Mindoro, Philippines","APPROXIMATE",c(120.7579834, 13.3638315)
"3",3,"OK","Abucay","Abucay, Bataan, Philippines","APPROXIMATE",c(120.4933624, 14.7128091)
"4",4,"OK","Abulug","Abulug, Cagayan, Philippines","APPROXIMATE",c(121.43419, 18.3972783)
"5",5,"OK","Abuyog","Abuyog, Leyte, Philippines","APPROXIMATE",c(125.0608405, 10.6734811)
"6",6,"OK","Adams","Adams, Ilocos Norte, Philippines","APPROXIMATE",c(120.9187827, 18.4590814)
"7",7,"OK","Agdangan","Agdangan, Quezon, Philippines","APPROXIMATE",c(121.9359339, 13.8852892)
"8",8,"OK","Aglipay","Aglipay, Quirino, Philippines","APPROXIMATE",c(121.6054893, 16.4464328)
"9",9,"OK","Agno","Agno, Pangasinan, Philippines","APPROXIMATE",c(119.8120795, 16.1032876)
"10",10,"OK","Agoncillo","Agoncillo, Batangas, Philippines","APPROXIMATE",c(120.9302603, 13.9879515)
"11",11,"OK","Agoo","Agoo, La Union, Philippines","APPROXIMATE",c(120.3550808, 16.3247042)
"12",12,"OK","Aguilar","Aguilar, Pangasinan, Philippines","APPROXIMATE",c(120.182022, 15.8361182)
"13",13,"ZERO_RESULTS","Aguinaldo",NA,NA,c(NA, NA)
"14",14,"OK","Agutaya","Agutaya, Palawan, Philippines","APPROXIMATE",c(120.9417368, 11.2314796)
"15",15,"OK","Ajuy","Ajuy, Iloilo, Philippines","APPROXIMATE",c(123.0113568, 11.1246161)
"16",16,"OK","Alabat","Alabat, Quezon, Philippines","APPROXIMATE",c(122.0137161, 14.1031468)
"17",17,"OK","Alabel","Alabel, Sarangani, Philippines","APPROXIMATE",c(125.3466253, 6.1850325)
"18",18,"OK","Alamada","Alamada, Cotabato, Philippines","APPROXIMATE",c(124.5528387, 7.552935)
"19",19,"OK","Alaminos (LA)","Alaminos, Pangasinan, Philippines","APPROXIMATE",c(119.9856157, 16.1505291)
"20",20,"OK","Alaminos (PS)","Alaminos, Pangasinan, Philippines","APPROXIMATE",c(119.9856157, 16.1505291)
